Titulo,Autores,Orientador,Co-Orientar,Palavras-Chave,Resumo,Matricula,Area da Poc
Improving Rule Based and Equivalent Decision Simplifications for Bloat Control in Genetic Programming Using a Dynamic Operator,AUTORES: Gustavo Ferreira Viegas de Oliveira,ORIENTADOR: Marcus Henrique Soares Mendes,CO-ORIENTADOR: Fabricio Aguiar Silva,PALAVRAS CHAVE:Genetic-Programming-Primeira Poc,RESUMO: ,4225,ENGENHARIA_DE_SOFTWARE
Analisando a associação entre tweets geolocalizados próximos a hospitais e a ocorrência de casos de COVID-19,AUTORES: Bruno Marra de Melo,ORIENTADOR: Fabrício Aguiar Silva,CO-ORIENTADOR: Gláucia Braga e Silva,PALAVRAS CHAVE: tweets-geolocalizados-COVID-19-,RESUMO: Ocorrência de casos de COVID-19,4225,ENGENHARIA_DE_SOFTWARE
Uma análise da aprovação do presidente Jair Bolsonaro ao longo da pandemia de COVID-19 baseada nas transcrições de vídeos do YouTube,Paulo Henrique Pimentel Marcolino,Daniel Mendes Barbosa,Gláucia Braga e Silva,You Tube - COVID-19 - presidente - Jair Bolsonaro,COVID-19 baseada nas transcrições de vídeos do YouTube,4250,ENGENHARIA_DE_SOFTWARE
Meta-Game: Um Jogo Sério para Auxiliar o Ensino de Algoritmos Genéticos,Jose Grigorio Neto,Daniel Mendes Barbosa,Antônio Carlos Fava de Barros,Meta-Game - Jogo - sério - auxiliar - Jogo Legal!,Meta-Game: Um Jogo Sério para Auxiliar o Ensino de Algoritmos Genéticos,4250,INTERNET_DAS_COISAS
VocacioEneagrama: um teste vocacional automatizado baseado em Eneagrama,Athena Fernandes Sarantôpoulos,Daniel Mendes Barbosa,,teste - Eneagrama - automatizado,Um teste vocacional automatizado baseado em Eneagrama,4250,CIENCIA_DE_DADOS
Observer e Concrete Factory aplicáveis à arquitetura de um laboratório virtual de aprendizagem desenvolvido em Unit 3D,Caio Augusto Moreira Campos,Gláucia Braga e Silva,Daniel Mendes Barbosa,Unity - arquitetura - laboratório - Top!,Arquitetura de um laboratório virtual de aprendizagem desenvolvido em Unit 3D,4250,CIENCIA_DE_DADOS
Stone Game: Uma abordagem gamificada para o aprendizado de Cálculo Diferencial e Integral I,Heitor Passeado Soares,Daniel Mendes Barbosa,Fabrício Aguiar Silva,abordagem - gamificada - aprendizado,Uma abordagem gamificada para o aprendizado de Cálculo Diferencial e Integral I,4250,CIENCIA_DE_DADOS
Detecção e reconhecimento de animais em vídeos de segurança utilizando técnicas de processamento de imagens,Adriano Marques Martins,Antônio Carlos Fava de Barros,Daniel Mendes Barbosa,animais-vídeos-detecção-reconhecimento-Interessante!,Detecção e reconhecimento de animais em vídeos,4250,INTERNET_DAS_COISAS Detecção e reconhecimento de animais em vídeos de segurança utilizando técnicas de processamento de imagens,Adriano Marques Martins,Antônio Carlos Fava de Barros,Daniel Mendes Barbosa,animais-vídeos-detecção-reconhecimento-Interessante!,Detecção e reconhecimento de animais em vídeos,INTERNET_DAS_COISAS
PyFOT -A Python Framework for Optimizing and Tuning,Daniel Freitas Martins,Marcus Henrique Soares Mendes,Antônio Carlos Fava de Barros,Optimizing - Tuning,A Python Framework for Optimizing and Tuning,4250,INTERNET_DAS_COISAS
POC TESTE CADASTRO 06/12,AUTORES: Aroldo-Joao-Thiago-Gabriel,ORIENTADOR: Aroldo,CO-ORIENTADOR: ,PALAVRAS CHAVE:Teste-,RESUMO: Simplesmente Teste novo,4250,ENGENHARIA_DE_SOFTWARE
